"NUTS","Country","Population","Population_density","Students_in_tertiary_education","%_early_leavers_from_education","%_of_NEET","%_of_people_studying_or_training","Students","Life_expectancy","Deaths","Discharges_after_respiratory_disease","Hospital_beds","Health_personnel","Air_passengers","Vehicles","Farm_labour_force","Utilised_agricoltural_area","Unemployement_rate","Compensation_of_employees","Hours_worked","GDP","GVA","First_wave_density","Second_wave_density","Latitude","Longitude"
"EE00","EE",1328976,30.5,45484,7.5,8.9,17.1,89618,79,1183.46,17572,453.01,4603,3258,1045587,22060,957510,6.8,13785.1,1182028,28112.39,120,0.00165992463370294,0.0412543191148674,58.6709,25.8548
"ES11","ES",2702592,92,99536,12,9.2,11.6,139276,84,1199.91,45875,329.67,12831,5248,1872820,76900,655520,12,27844.8,1871340.3,64429.89,109.6,0.00430586636828644,0.0362267038457895,42.7431,-7.8957
"ES12","ES",1018899,96.6,34999,8.9,12.1,11.1,50287,83.2,1291.62,17387,345.79,4065,1405,629120,20240,336310,14.1,10891.4,684403,23765.12,106.8,0.00287761593641764,0.0385072514547566,43.3017,-5.9972
"ES13","ES",582388,110.5,23531,9.1,10.5,11.9,34068,83.9,1048.38,7287,328.34,3000,1171,377754,8800,222950,12.1,6304.4,390162.8,14187.41,109.7,0.00556158437330439,0.0359605623742247,43.1875,-4.0606
"ES21","ES",2189138,303.7,89224,6.5,8.2,13.1,139270,84.5,1000.89,32935,325.71,12300,6353,1226007,13280,187250,9.5,34098.9,1734820.2,74496.02,109.5,0.0106091986891644,0.0569758507686587,43.0651,-2.5863
"ES22","ES",656509,63.1,27393,10.8,9.9,13.6,43985,85,899.51,8125,335.41,3530,240,424559,11320,546890,10.1,9521.1,514593.8,20973.51,111.1,0.0128756803029357,0.0644911189336323,42.7117,-1.6508
"ES23","ES",315931,62.6,34712,14.6,9.1,10.5,20233,84.2,1023.22,5206,323.43,1100,17601.9333333333,194966,8290,215840,10.8,3649.7,240385.3,8866.58,106.3,0.0151583731890824,0.0712687263991188,42.3132,-2.4332
"ES24","ES",1330333,27.9,52720,14.2,11.8,10.9,82001,84.4,1070.73,18764,362.29,6665,345,792992,39460,2261690,11.7,17017.9,1045786.8,38044.04,109.9,0.0174775789219692,0.0616056280645523,41.507,-0.6751
"ES30","ES",6747068,839.7,408905,10,9.9,12.4,444162,85.8,706.52,93568,273.1,34800,59747,4625861,5720,304150,12.5,117599,5882698.4,240129.72,114.1,0.0147499625022306,0.0701993814201961,40.5008,-3.7119
"ES41","ES",2401307,25.6,109491,15.4,11.7,10.4,128342,84.7,1214.06,39128,349.97,11200,242,1662819,67360,5295680,12.1,25704.4,1701302.1,59794.83,108,0.010160300203181,0.0746047881424574,41.7447,-4.8172
"ES42","ES",2045554,25.8,53090,18.7,12.4,9.1,134390,83.9,962.47,26435,233.41,5765,17601.9333333333,1436412,75350,4045810,17.7,17895.8,1266063.8,42820.22,110.6,0.0101815938371708,0.0712780009718639,39.2748,-3.1358
"ES43","ES",1061979,26,32624,18.4,16.6,10.3,64295,83.1,1072.25,14968,335.24,3265,17601.9333333333,765835,55070,2491730,21.8,8806.2,661819.3,20676.92,108.7,0.00384282551726541,0.0608458359346089,39.1892,-6.1601
"ES51","ES",7652348,238.1,379060,17.4,17,10,518479,84.3,884.26,123067,384,37258,54693,4429223,56050,1125270,12.6,110681,6151178.5,236814.4,110.7,0.0127056427648089,0.060547560043009,41.8005,1.5078
